#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	381	13.230	529
13.256	389	13.280	500
13.306	400	13.331	476
13.357	417	13.381	457
13.407	438	13.433	444
13.458	460	13.483	437
13.508	483	13.534	437
13.560	507	13.584	446
13.610	529	13.635	460
13.661	549	13.686	481
13.711	565	13.737	507
13.762	577	13.787	537
13.813	584	13.838	569
13.864	586	13.888	601
13.914	583	13.940	632
13.965	575	13.990	660
14.015	562	14.041	684
14.067	546	14.091	702
14.117	526	14.142	713
14.168	505	14.192	718
14.218	483	14.244	715
14.269	461	14.294	706
14.319	441	14.345	689
14.371	423	14.395	666
14.421	409	14.446	639
14.472	399	14.497	608
14.522	393	14.548	575
14.573	392	14.598	542
14.624	397	14.649	510
14.675	405	14.699	482
14.725	418	14.751	458
14.776	434	14.801	442
14.826	453	14.852	431
14.878	473	14.902	428
14.928	494	14.953	432
14.979	513	15.003	445
15.029	531	15.055	463
15.080	547	15.105	489
15.130	559	15.156	518
15.182	568	15.206	551
15.232	571	15.257	586
15.283	571	15.308	618
15.333	566	15.359	650
15.384	557	15.409	678
15.435	544	15.460	701
15.486	529	15.510	715
15.536	511	15.562	724
15.587	492	15.612	725
15.637	473	15.663	718
15.689	455	15.713	705
15.739	439	15.764	684
15.790	425	15.814	656
15.840	415	15.866	626
15.891	408	15.917	593
15.941	406	15.967	557
15.993	407	16.018	524
16.043	413	16.068	491
16.094	423	16.120	464
16.144	434	16.170	443
16.195	449	16.221	428
16.246	466	16.271	421
16.297	483	16.322	421
16.347	500	16.373	430
16.398	516	16.424	447
16.448	530	16.474	471
16.500	542	16.525	499
16.550	551	16.575	533
16.601	555	16.627	568
16.651	557	16.677	603
16.702	554	16.728	637
16.752	548	16.778	669
16.804	539	16.829	695
16.854	527	16.879	714
16.905	513	16.931	727
16.955	498	16.981	731
17.006	482	17.032	729
17.057	467	17.082	717
17.108	453	17.133	700
17.158	441	17.184	674
17.209	431	17.235	645
17.259	424	17.285	611
17.311	421	17.336	575
17.361	420	17.386	539
17.412	423	17.438	505
17.462	430	17.488	473
17.513	439	17.539	448
17.563	450	17.589	430
17.615	462	17.640	418
17.665	476	17.690	416
17.716	490	17.742	420
17.766	503	17.792	434
17.817	516	17.843	455
17.868	526	17.893	482
17.919	534	17.944	514
17.969	539	17.995	549
18.020	541	18.046	586
18.070	541	18.096	621
18.122	537	18.147	655
18.172	531	18.197	685
18.223	522	18.249	709
18.273	511	18.299	726
18.324	500	18.350	734
18.374	488	18.400	735
18.426	476	18.451	728
18.476	465	18.501	713
18.527	455	18.553	691
18.577	446	18.603	662
18.628	440	18.654	629
18.679	436	18.704	593
