#w			amp[a.u]
2.884453781512605 7.991266375545877
3.2752100840336134 9.912663755458539
3.6785714285714284 12.794759825327503
3.9243697478991595 16.157205240174704
4.031512605042017 21.44104803493451
4.09453781512605 24.323144104803532
4.220588235294118 29.126637554585187
4.460084033613445 54.10480349344982
4.548319327731091 85.32751091703057
4.598739495798319 126.15720524017468
4.617647058823529 143.93013100436684
4.642857142857142 187.16157205240177
4.655462184873949 219.34497816593887
4.668067226890756 222.70742358078604
4.705882352941176 221.26637554585153
4.75 134.80349344978168
4.78781512605042 109.3449781659389
4.819327731092437 94.45414847161575
4.838235294117647 82.4454148471616
4.8886554621848735 71.39737991266378
4.876050420168067 59.86899563318781
5.071428571428571 34.41048034934502
5.102941176470588 30.56768558951967
5.147058823529411 27.685589519650676
5.172268907563025 26.244541484716194
5.336134453781511 19.039301310043697
5.373949579831933 17.598253275109187
5.493697478991596 15.196506550218345
5.733193277310924 11.35371179039305
5.815126050420168 9.912663755458539
6.054621848739495 8.471615720524028
6.6155462184873945 5.589519650655063
7.018907563025209 4.628820960698704

